,N_All,Mean_All,SD_All,P10_All,P25_All,Median_All,P75_All,P90_All,N_SOE,Mean_SOE,SD_SOE,P10_SOE,P25_SOE,Median_SOE,P75_SOE,P90_SOE,N_NonSOE,Mean_NonSOE,SD_NonSOE,P10_NonSOE,P25_NonSOE,Median_NonSOE,P75_NonSOE,P90_NonSOE,Signif
lev,38385.0,0.4165886641330852,0.20244251071930927,0.15042172783665197,0.2535074262911337,0.4081910966962268,0.565209499340488,0.6932069272644382,13991.0,0.49294942776082107,0.19971636778728344,0.2148299985842074,0.3423321745261136,0.4994452040938484,0.6465161932121741,0.7552159364387685,24394.0,0.3727925075406587,0.19065886635786533,0.1304795935610538,0.21722200263032027,0.3584790376836936,0.5076894983739391,0.6341217915075004,***
npr,38385.0,0.033926540344035964,0.0623573371410217,-0.021617849409013935,0.0117863699858442,0.0350025311812065,0.0643929505984681,0.09743418518136779,13991.0,0.029493234337973444,0.05147796752919175,-0.0143679164970071,0.009334883060121549,0.0280691651846441,0.05311252395326175,0.0841427036864876,24394.0,0.036469230527311394,0.06768415100337807,-0.025282449601484885,0.013836659189609675,0.039969543382984904,0.07019266200523283,0.10381595632573323,***
size,38385.0,22.290250261910437,1.3593084748633755,20.767960453278274,21.337268440753306,22.07688812013569,23.035854619298743,24.09795302468255,13991.0,22.971455287191795,1.4999369602527108,21.18682959927108,21.883857640150506,22.82921943885283,23.86521323740454,24.898956881675847,24394.0,21.899550109876678,1.0947031890244985,20.64603534513601,21.145464481091434,21.774050987364742,22.529945839579394,23.304053650851166,***
tang,38385.0,0.2078828286276344,0.15566119352685662,0.03312575114331892,0.0866624786447883,0.1751765436545669,0.2958081763439655,0.43071221422879524,13991.0,0.240362817651008,0.18766645880552343,0.0288295837145225,0.0844327938540205,0.193863920493755,0.3665079466959089,0.5330255357122423,24394.0,0.18925416885777213,0.13029663552844933,0.03611453395483482,0.08794311793460492,0.16761984311550404,0.2689554383340025,0.37004539039896456,***
growth,38385.0,0.14537572778974475,0.3295181212789633,-0.06628709060979673,0.0029923002079101,0.0760427510907034,0.1863221430803305,0.38875585296581416,13991.0,0.11061060651423926,0.29481413969291814,-0.0664417413027607,-0.00402890630858085,0.0597466291044761,0.1464982526931744,0.286752657880661,24394.0,0.16531500842291671,0.346297988545939,-0.06622477052048119,0.007935141623362275,0.08703326729881805,0.21251040074897862,0.4455706312778851,***
ndts,38385.0,0.025156304423878187,0.0158815922319712,0.00756453316363288,0.0133261790511958,0.0222821036964524,0.0338167471719736,0.04639541245440854,13991.0,0.026525707626862592,0.017146415288138015,0.0067512107635608,0.01333185466269985,0.0237391982608686,0.036658737745302705,0.0497289827321719,24394.0,0.02437089324846805,0.015052709061800468,0.007970865066125609,0.013326246201757624,0.021611635404343348,0.0323603372495564,0.04416304713591041,***
